Ã¿Ã¾frame.time,ip.src,ip.dst,ip.proto,frame.len,tcp.flags,udp.length
"Feb 21, 2025 10:19:37.670464000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.685016000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.685088000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.685571000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.685785000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.685830000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.749384000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.749446000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.749887000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.749948000 GTB Standard Time",192.168.65.1,192.168.65.7,6,160,0x0018,
"Feb 21, 2025 10:19:37.749967000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.750979000 GTB Standard Time",192.168.65.7,192.168.65.1,6,363,0x0018,
"Feb 21, 2025 10:19:37.751680000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.751916000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:37.752064000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:37.752280000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.752314000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.752499000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.752706000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.752758000 GTB Standard Time",192.168.65.1,192.168.65.7,6,222,0x0018,
"Feb 21, 2025 10:19:37.752780000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.753658000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:37.754086000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.754680000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.754722000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.755147000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.755197000 GTB Standard Time",192.168.65.1,192.168.65.7,6,181,0x0018,
"Feb 21, 2025 10:19:37.755214000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.757249000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:37.757338000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:37.757361000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:37.757362000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1266,0x0018,
"Feb 21, 2025 10:19:37.757381000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:37.757382000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1153,0x0018,
"Feb 21, 2025 10:19:37.757522000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:37.757918000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.758071000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.758087000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.759281000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:37.759409000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:37.759864000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.760156000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.760193000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.760222000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.760244000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.760598000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.760908000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.760944000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.760967000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.761292000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.761343000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.762583000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:37.762655000 GTB Standard Time",192.168.65.7,192.168.65.1,6,870,0x0018,
"Feb 21, 2025 10:19:37.762843000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:37.763591000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.763632000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.763778000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:37.763924000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:37.764365000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.764402000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.764434000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.764956000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.765006000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.765024000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.776557000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.776619000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.777143000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.777205000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.777285000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.828667000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.828731000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.829203000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.829259000 GTB Standard Time",192.168.65.1,192.168.65.7,6,160,0x0018,
"Feb 21, 2025 10:19:37.829286000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.830286000 GTB Standard Time",192.168.65.7,192.168.65.1,6,363,0x0018,
"Feb 21, 2025 10:19:37.830862000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.831023000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:37.831151000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:37.831596000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.831619000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.831645000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.832049000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.832105000 GTB Standard Time",192.168.65.1,192.168.65.7,6,222,0x0018,
"Feb 21, 2025 10:19:37.832123000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.833163000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:37.833623000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.834158000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.834195000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.834724000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.834776000 GTB Standard Time",192.168.65.1,192.168.65.7,6,181,0x0018,
"Feb 21, 2025 10:19:37.834793000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.836980000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:37.837086000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:37.837092000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:37.837093000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1266,0x0018,
"Feb 21, 2025 10:19:37.837144000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:37.837170000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1153,0x0018,
"Feb 21, 2025 10:19:37.837444000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:37.837945000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.838037000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.838060000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.838074000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.838084000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.838102000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.838274000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.839662000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:37.839819000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:37.840340000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.840663000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.840738000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.840767000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.840790000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.841200000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.841270000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.841289000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.841306000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.841341000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.841359000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.853856000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.853923000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.854487000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.854567000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.854589000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:37.855714000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:37.855768000 GTB Standard Time",192.168.65.7,192.168.65.1,6,870,0x0018,
"Feb 21, 2025 10:19:37.855951000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:37.856514000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.856558000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.856612000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.856772000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:37.856888000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:37.857399000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.857424000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:19:37.857452000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:19:37.857880000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:37.857928000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:19:37.857945000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.317193000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.317846000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.673464000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:38.673536000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:38.673538000 GTB Standard Time",192.168.65.7,192.168.65.1,6,812,0x0018,
"Feb 21, 2025 10:19:38.673758000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:38.678714000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.678762000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.678772000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:38.678910000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:38.679407000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.956383000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956391000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956393000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956396000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956398000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956399000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956400000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956401000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956402000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956443000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.956447000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:19:38.957194000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957237000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957256000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957268000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957276000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957283000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957293000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957487000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957503000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957511000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:38.957519000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.681670000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.681705000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.681707000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.681714000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.681715000 GTB Standard Time",192.168.65.7,192.168.65.1,6,521,0x0018,
"Feb 21, 2025 10:19:39.681723000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.681725000 GTB Standard Time",192.168.65.7,192.168.65.1,6,521,0x0018,
"Feb 21, 2025 10:19:39.681736000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.681737000 GTB Standard Time",192.168.65.7,192.168.65.1,6,521,0x0018,
"Feb 21, 2025 10:19:39.681943000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.682063000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.682132000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.683871000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.684459000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.684496000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.684513000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.684515000 GTB Standard Time",192.168.65.7,192.168.65.1,6,771,0x0018,
"Feb 21, 2025 10:19:39.684536000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.684537000 GTB Standard Time",192.168.65.7,192.168.65.1,6,771,0x0018,
"Feb 21, 2025 10:19:39.684632000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.684706000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.684732000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.684734000 GTB Standard Time",192.168.65.7,192.168.65.1,6,771,0x0018,
"Feb 21, 2025 10:19:39.684805000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.684896000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.685665000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.686055000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.686509000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.686541000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.686556000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.686706000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.686885000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.687696000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.687904000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.687938000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:19:39.687949000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.687951000 GTB Standard Time",192.168.65.7,192.168.65.1,6,812,0x0018,
"Feb 21, 2025 10:19:39.687986000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:19:39.687988000 GTB Standard Time",192.168.65.7,192.168.65.1,6,812,0x0018,
"Feb 21, 2025 10:19:39.688156000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.688181000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:19:39.688662000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.688695000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689066000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689120000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.689185000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.689203000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689280000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.689370000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689408000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.689434000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689456000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689574000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689808000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689844000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689853000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.689896000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.689916000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.689968000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.690039000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.690152000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.690207000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.690279000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.690352000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.690599000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.690629000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.690643000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.690810000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.691078000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:19:39.691205000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:19:39.691694000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.691732000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.691748000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.691775000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.691802000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.691923000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.692157000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:19:39.692184000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
