Ã¿Ã¾frame.time,ip.src,ip.dst,ip.proto,frame.len,tcp.flags,udp.length
"Feb 21, 2025 10:15:19.510671000 GTB Standard Time",192.168.65.7,192.168.65.1,6,772,0x0018,
"Feb 21, 2025 10:15:19.510701000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:15:19.510702000 GTB Standard Time",192.168.65.7,192.168.65.1,6,772,0x0018,
"Feb 21, 2025 10:15:19.510841000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:15:19.510979000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:15:19.511774000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.511832000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.512300000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.512328000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:19.512463000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:19.512739000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:19.512878000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:19.513306000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.513335000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.513350000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.513367000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.513727000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:19.513886000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:19.514135000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:19.514266000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:19.515179000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.515222000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.515237000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:19.515251000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:20.148581000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:20.148663000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:20.149406000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:15:20.149456000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:15:20.149480000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:20.149491000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:20.150538000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:20.150577000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:20.150593000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:20.150747000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:23.607549000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:23.607587000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:23.608325000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:23.608348000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.476683000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.476748000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.477256000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.477440000 GTB Standard Time",192.168.65.1,192.168.65.7,6,160,0x0018,
"Feb 21, 2025 10:15:27.477476000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.478455000 GTB Standard Time",192.168.65.7,192.168.65.1,6,363,0x0018,
"Feb 21, 2025 10:15:27.479324000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.479355000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:27.479529000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:27.479982000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.480418000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.480451000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.481161000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.481324000 GTB Standard Time",192.168.65.1,192.168.65.7,6,222,0x0018,
"Feb 21, 2025 10:15:27.481373000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.482347000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:15:27.482905000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.483708000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.483763000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.484247000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.484314000 GTB Standard Time",192.168.65.1,192.168.65.7,6,181,0x0018,
"Feb 21, 2025 10:15:27.484336000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.486597000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:15:27.486697000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:15:27.486705000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:15:27.486705000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1266,0x0018,
"Feb 21, 2025 10:15:27.486735000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:15:27.486737000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1153,0x0018,
"Feb 21, 2025 10:15:27.486909000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:15:27.488333000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.488663000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.490231000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:27.490435000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:27.490921000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.492229000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.492302000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.492726000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.492761000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.494268000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.494882000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.494938000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:15:27.494963000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.495984000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:15:27.496058000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.503928000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.504003000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.504657000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.504969000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:15:27.504995000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.518904000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.518976000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.519445000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.519788000 GTB Standard Time",192.168.65.1,192.168.65.7,6,198,0x0018,
"Feb 21, 2025 10:15:27.519857000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.520768000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:15:27.520828000 GTB Standard Time",192.168.65.7,192.168.65.1,6,870,0x0018,
"Feb 21, 2025 10:15:27.520990000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:15:27.521838000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.521869000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.521886000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.522210000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:27.522331000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
